"","playerID.Name.PA.OBP"
"130","hartco01,Corey Hart,622,0.341"
"131","headlch01,Chase Headley,696,0.381"
"132","heisech01,Chris Heisey,372,0.315"
"133","heltoto01,Todd Helton,281,0.349"
"134","herreel01,Elian Herrera,212,0.340"
"135","herrejo03,Jonathan Herrera,246,0.325"
"136","heywaja01,Jason Heyward,648,0.338"
"137","hillaa01,Aaron Hill,672,0.368"
"138","hollima01,Matt Holliday,686,0.385"
"139","hosmeer01,Eric Hosmer,597,0.312"
"140","howarry01,Ryan Howard,296,0.314"
"141","hudsoor01,Orlando Hudson,281,0.263"
"142","hundlni01,Nick Hundley,223,0.229"
"143","hunteto01,Torii Hunter,581,0.368"
"144","iannech01,Chris Iannetta,252,0.333"
"145","ibanera01,Raul Ibanez,428,0.318"
"146","infanom01,Omar Infante,576,0.302"
"147","ingebr01,Brandon Inge,329,0.280"
"148","izturma01,Maicer Izturis,316,0.320"
"149","jacksau01,Austin Jackson,612,0.379"
"150","jasojo01,John Jaso,356,0.402"
"151","jayjo02,Jon Jay,495,0.378"
"152","jennide01,Desmond Jennings,557,0.316"
"153","jeterde01,Derek Jeter,734,0.364"
"154","johnsch05,Chris Johnson,525,0.331"
"155","johnsel02,Elliot Johnson,324,0.306"
"156","johnske05,Kelly Johnson,578,0.320"
"157","johnsre02,Reed Johnson,289,0.339"
"158","jonesad01,Adam Jones,695,0.335"
"159","jonesan01,Andruw Jones,267,0.300"
"160","jonesch06,Chipper Jones,451,0.388"
"161","jonesga02,Garrett Jones,510,0.324"
"162","joycema01,Matthew Joyce,464,0.347"
"163","kempma01,Matt Kemp,454,0.381"
"164","kendrho01,Howie Kendrick,584,0.329"
"165","keppije01,Jeff Keppinger,413,0.370"
"166","kinslia01,Ian Kinsler,725,0.328"
"167","kipnija01,Jason Kipnis,665,0.340"
"168","konerpa01,Paul Konerko,600,0.377"
"169","kotchca01,Casey Kotchman,497,0.282"
"170","kottage01,George Kottaras,209,0.354"
"171","kubelja01,Jason Kubel,572,0.339"
"172","lahaibr01,Bryan LaHair,382,0.340"
"173","larocad01,Adam LaRoche,645,0.355"
"174","lawribr01,Brett Lawrie,532,0.325"
"175","leeca01,Carlos Lee,613,0.339"
"176","lemahdj01,DJ LeMahieu,246,0.346"
"177","lillibr01,Brent Lillibridge,205,0.254"
"178","lindad01,Adam Lind,351,0.319"
"179","lombast02,Stephen Lombardozzi,410,0.320"
"180","loneyja01,James Loney,469,0.305"
"181","longoev01,Evan Longoria,315,0.384"
"182","lopezjo01,Jose Lopez,245,0.273"
"183","lowrije01,Jed Lowrie,385,0.332"
"184","lucrojo01,Jonathan Lucroy,343,0.373"
"185","ludwiry01,Ryan Ludwick,472,0.352"
"186","maldoma01,Martin Maldonado,252,0.321"
"187","markani01,Nick Markakis,469,0.371"
"188","marsolo01,Lou Marson,232,0.349"
"189","martijd02,J.D. Martinez,436,0.312"
"190","martiru01,Russell Martin,483,0.311"
"191","mathejo02,Joe Mather,241,0.261"
"192","mathije01,Jeff Mathis,220,0.250"
"193","mauerjo01,Joe Mauer,647,0.427"
"194","maxweju01,Justin Maxwell,350,0.306"
"195","maybejo02,John Mayberry,479,0.305"
"196","maybica01,Cameron Maybin,556,0.309"
"197","mccanbr01,Brian McCann,491,0.312"
"198","mccutan01,Andrew McCutchen,681,0.414"
"199","mcdonjo03,John McDonald,215,0.312"
"200","mcgehca01,Casey McGehee,349,0.287"
"201","mckenmi01,Michael McKenry,273,0.326"
"202","mclouna01,Nate McLouth,296,0.318"
"203","middlwi01,Will Middlebrooks,283,0.329"
"204","molinjo01,Jose Molina,273,0.286"
"205","molinya01,Yadier Molina,559,0.381"
"206","monteje01,Jesus Montero,550,0.307"
"207","montemi01,Miguel Montero,577,0.399"
"208","mooresc02,Scott Moore,226,0.341"
"209","moralke01,Kendry Morales,520,0.323"
"210","morelmi01,Mitch Moreland,356,0.334"
"211","morgany01,Nyjer Morgan,315,0.302"
"212","morneju01,Justin Morneau,568,0.349"
"213","morrilo01,Logan Morrison,333,0.315"
"214","morsemi01,Mike Morse,426,0.324"
"215","mossbr01,Brandon Moss,296,0.365"
"216","moustmi01,Mike Moustakas,613,0.303"
"217","murphda07,David Murphy,522,0.391"
"218","murphda08,Daniel Murphy,613,0.339"
"219","napolmi01,Mike Napoli,420,0.352"
"220","navada01,Daniel Nava,314,0.357"
"221","nelsoch01,Chris Nelson,377,0.361"
"222","nieuwki01,Kirk Nieuwenhuis,309,0.317"
"223","norride01,Derek Norris,232,0.280"
"224","olivomi01,Miguel Olivo,322,0.239"
"225","ortizda01,David Ortiz,393,0.438"
"226","pachejo01,Jordan Pacheco,502,0.347"
"227","paganan01,Angel Pagan,658,0.345"
"228","parmech01,Chris Parmelee,210,0.295"
"229","parrage01,Gerardo Parra,426,0.343"
"230","pedrodu01,Dustin Pedroia,619,0.354"
"231","penabr01,Brayan Pena,221,0.267"
"232","penaca01,Carlos Pena,599,0.334"
"233","pencehu01,Hunter Pence,682,0.324"
"234","pennicl01,Cliff Pennington,455,0.279"
"235","peraljh01,Jhonny Peralta,585,0.309"
"236","perezsa02,Salvador Perez,305,0.338"
"237","peterbr01,Bryan Petersen,267,0.273"
"238","phillbr01,Brandon Phillips,618,0.325"
"239","pierrju01,Juan Pierre,421,0.352"
"240","pierzaj01,A.J. Pierzynski,520,0.335"
"241","plouftr01,Trevor Plouffe,463,0.302"
"242","podsesc01,Scott Podsednik,206,0.325"
"243","polanpl01,Placido Polanco,324,0.306"
"244","poseybu01,Buster Posey,608,0.421"
"245","pradoma01,Martin Prado,679,0.365"
"246","preslal01,Alex Presley,366,0.279"
"247","pujolal01,Albert Pujols,680,0.362"
"248","quentca01,Carlos Quentin,339,0.381"
"249","raburry01,Ryan Raburn,220,0.227"
"250","ramiral03,Alexei Ramirez,615,0.291"
"251","ramirar01,Aramis Ramirez,629,0.366"
"252","ramirha01,Hanley Ramirez,668,0.328"
"253","ransoco01,Cody Ransom,279,0.312"
"254","rasmuco01,Colby Rasmus,624,0.296"
"255","reddijo01,Josh Reddick,676,0.315"
"256","reverbe01,Ben Revere,543,0.335"
"257","reyesjo01,Jose Reyes,714,0.359"
"258","reynoma01,Mark Reynolds,538,0.338"
"259","riosal01,Alexis Rios,638,0.340"
"260","riverju01,Juan Rivera,334,0.293"
"261","rizzoan01,Anthony Rizzo,368,0.345"
"262","roberry01,Ryan Roberts,481,0.301"
"263","rodrial01,Alex Rodriguez,527,0.361"
"264","rodrise01,Sean Rodriguez,332,0.286"
"265","rolensc01,Scott Rolen,327,0.321"
"266","rolliji01,Jimmy Rollins,696,0.319"
"267","rosarwi01,Wilin Rosario,424,0.318"
"268","rossco01,Cody Ross,524,0.334"
"269","ruggiju01,Justin Ruggiano,317,0.375"
"270","ruizca01,Carlos Ruiz,423,0.407"
"271","rutlejo01,Josh Rutledge,290,0.307"
"272","ryanbr01,Brendan Ryan,456,0.281"
"273","saltaja01,Jarrod Saltalamacchia,444,0.291"
"274","sanchga01,Gaby Sanchez,327,0.284"
"275","sanchhe01,Hector Sanchez,224,0.299"
"276","sandopa01,Pablo Sandoval,439,0.353"
"277","santaca01,Carlos Santana,605,0.374"
"278","santira01,Ramon Santiago,254,0.287"
"279","saundmi01,Michael Saunders,551,0.307"
"280","schafjo02,Jordan Schafer,355,0.304"
"281","schiena01,Nate Schierholtz,267,0.330"
"282","schumsk01,Skip Schumaker,301,0.346"
"283","scottlu01,Luke Scott,343,0.294"
"284","scutama01,Marco Scutaro,664,0.352"
"285","seageky01,Kyle Seager,646,0.319"
"286","shoppke01,Kelly Shoppach,246,0.317"
"287","smithse01,Seth Smith,445,0.346"
"288","smoakju01,Justin Smoak,535,0.293"
"289","snydech02,Chris Snyder,262,0.305"
"290","solando01,Donovan Solano,309,0.350"
"291","soriaal01,Alfonso Soriano,617,0.329"
"292","sotoge01,Geovany Soto,358,0.274"
"293","spande01,Denard Span,563,0.343"
"294","stantmi03,Mike Stanton,509,0.373"
"295","stewaia01,Ian Stewart,206,0.306"
"296","stubbdr01,Drew Stubbs,537,0.277"
"297","suzukic01,Ichiro Suzuki,658,0.315"
"298","suzukku01,Kurt Suzuki,436,0.284"
"299","sweenry01,Ryan Sweeney,217,0.304"
"300","swishni01,Nick Swisher,620,0.369"
"301","tabatjo01,Jose Tabata,368,0.315"
"302","teixema01,Mark Teixeira,513,0.341"
"303","tejadru01,Ruben Tejada,496,0.335"
"304","thameer01,Eric Thames,287,0.275"
"305","theriry01,Ryan Theriot,378,0.320"
"306","tholejo01,Josh Thole,355,0.307"
"307","torrean02,Andres Torres,431,0.332"
"308","torreyo01,Yorvit Torrealba,213,0.296"
"309","troutmi01,Mike Trout,636,0.407"
"310","trumbma01,Mark Trumbo,587,0.322"
"311","tulowtr01,Troy Tulowitzki,203,0.365"
"312","ugglada01,Dan Uggla,632,0.354"
"313","uptonbj01,B.J. Upton,619,0.302"
"314","uptonju01,Justin Upton,627,0.364"
"315","utleych01,Chase Utley,363,0.383"
"316","valbulu01,Luis Valbuena,302,0.315"
"317","valdejo02,Jordany Valdespin,203,0.286"
"318","valdewi01,Wilson Valdez,202,0.238"
"319","venabwi01,Will Venable,465,0.340"
"320","vicieda01,Dayan Viciedo,539,0.302"
"321","victosh01,Shane Victorino,655,0.324"
"322","vottojo01,Joey Votto,491,0.495"
"323","walkene01,Neil Walker,522,0.349"
"324","wallabr01,Brett Wallace,254,0.327"
"325","weeksje01,Jemile Weeks,499,0.307"
"326","weeksri01,Rickie Weeks,677,0.331"
"327","wellsca01,Casper Wells,315,0.302"
"328","wellsve01,Vernon Wells,260,0.281"
"329","werthja01,Jayson Werth,345,0.391"
"330","wietema01,Matt Wieters,594,0.335"
"331","wiggity01,Ty Wigginton,356,0.323"
"332","willijo03,Josh Willingham,613,0.374"
"333","wisede01,Dewayne Wise,236,0.297"
"334","wrighda03,David Wright,681,0.408"
"335","youklke01,Kevin Youkilis,508,0.341"
"336","youngch04,Chris Young,363,0.311"
"337","youngde03,Delmon Young,602,0.301"
"338","youngmi02,Michael Young,648,0.318"
"339","zimmery01,Ryan Zimmerman,645,0.357"
"340","zobribe01,Ben Zobrist,667,0.387"
